Evaluation_Name,Relevant_Grade,Evaluation_Type,Criteria,Criteria_Value,Passed/Failed
TP2,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,5.9,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP2,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,5.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Examen Final,5.9,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP9,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP10,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,6.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP Final,3.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
TP6,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP8,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,7.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Examen Final,6.8,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP2,10.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP4,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,5.7,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,2.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP1,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,8.0,PRACTICAL_WORK,null,0.0,Failed
TP4,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,7.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP9,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,3.3,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Primer Parcial,5.5,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Examen Final,10.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP Final,8.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Passed
